App	Category	Rating	Reviews	Size	Installs	Type	Price	Content Rating	Genres	Last Updated	Current Ver	Android Ver
BF games	FAMILY	4.1	262	29M	50,000+	Free	0	Everyone	Puzzle	November 1, 2017	1.1	4.0.3 and up
BF 3d Wallpapers	FAMILY	4.1	256	2.5M	100,000+	Free	0	Teen	Entertainment	June 18, 2015	4.7	3.0 and up
Hot Bhojpuri Video songs	FAMILY	4.1	28892	6.3M	5,000,000+	Free	0	Teen	Entertainment	July 11, 2018	1.3	4.0 and up
Bullet Force	GAME	4.5	634159	58M	10,000,000+	Free	0	Teen	Action	June 21, 2018	1.40	4.2 and up
GF - BF Chat Stories - Hindi English Convesation	FAMILY	4.1	32	4.1M	10,000+	Free	0	Everyone	Education	June 18, 2018	1.5	4.1 and up
BF Scale Health Fitness Tool	HEALTH_AND_FITNESS	2.2	19	9.6M	1,000+	Free	0	Everyone	Health & Fitness	November 29, 2017	2.1	4.3 and up
BF-Calc	TOOLS	3.9	428	3.8M	100,000+	Free	0	Everyone	Tools	March 31, 2015	1.2.5	2.3.3 and up
BF 4 Guns	FAMILY	4.0	1542	13M	50,000+	Free	0	Everyone	Entertainment	June 9, 2015	3.0	3.0 and up
My Virtual Boyfriend	FAMILY	4.3	105	51M	1,000+	Paid	$0.99	Teen	Casual	February 17, 2017	3.6	2.3.3 and up
Sexy Hot Detector Prank	FAMILY	3.9	17067	2.7M	5,000,000+	Free	0	Everyone	Casual	February 13, 2018	2.4.4	4.1 and up
BF Combat: Genesis	GAME	4.0	3322	82M	100,000+	Free	0	Mature 17+	Action	March 2, 2017	5.1.6	2.3 and up
"Women""s Health Tips(Breast,Face,Body,weight lose)"	HEALTH_AND_FITNESS	4.2	2509	5.0M	1,000,000+	Free	0	Mature 17+	Health & Fitness	April 20, 2018	1.8	4.1 and up
Combat BF: Black Ops 3	GAME	4.2	7699	83M	500,000+	Free	0	Mature 17+	Action	March 2, 2017	5.1.6	2.3 and up
BF Beautiful Nature	FAMILY	3.6	5	2.5M	1,000+	Free	0	Mature 17+	Entertainment	June 11, 2015	4.1	3.0 and up
BF 3d Images	FAMILY	4.3	19	2.5M	1,000+	Free	0	Teen	Entertainment	June 17, 2015	4.5	3.0 and up
Jigsaw Puzzles Bus Scania BF	FAMILY		3	6.6M	1,000+	Free	0	Teen	Puzzle	November 7, 2016	1.0	4.0 and up
BF 3d View Wallpapers	FAMILY		4	2.5M	1,000+	Free	0	Teen	Entertainment	June 18, 2015	4.6	3.0 and up
Hot Bhojpuri Video Song 2018 - Free Movies	FAMILY	4.4	447	3.7M	100,000+	Free	0	Mature 17+	Entertainment	April 4, 2018	1.0	4.2 and up
Body Scanner xray Real Camera Prank Entertaintment	FAMILY	2.6	17	4.6M	5,000+	Free	0	Everyone	Entertainment	May 5, 2018	1.0	2.3 and up
BF Frontline City	GAME	4.1	29798	80M	1,000,000+	Free	0	Mature 17+	Action	March 6, 2017	5.1.7	2.3 and up
Bf Light	BUSINESS		6	11M	1,000+	Free	0	Everyone	Business	February 9, 2017	1.0	4.1 and up
Droid PRoCon BF3	TOOLS	3.5	412	2.6M	5,000+	Paid	$0.99	Everyone	Tools	March 12, 2015	2.2	3.0 and up
BF Abstract 3d Pictures	FAMILY	4.2	72	2.5M	10,000+	Free	0	Teen	Entertainment	June 18, 2015	5.1	3.0 and up
CE BF	LIFESTYLE		0	24M	50+	Free	0	Everyone	Lifestyle	January 2, 2018	1.0.1	4.1 and up
Freedom Christian BF	LIFESTYLE		0	12M	10+	Free	0	Everyone	Lifestyle	February 22, 2016	1.0	4.0.3 and up
Random Love (BF)	FAMILY	3.7	3	10M	50+	Free	0	Everyone	Entertainment	October 4, 2015	1.0.0	2.2 and up
BeFunky Photo Editor Pro	PHOTOGRAPHY	4.5	4724	Varies with device	50,000+	Paid	$1.99	Everyone	Photography	August 14, 2017	Varies with device	Varies with device
Virtual Boyfriend Chat	FAMILY	2.4	407	306k	50,000+	Free	0	Mature 17+	Entertainment	April 11, 2017	1.0	2.2 and up
BF Family user	BUSINESS		8	26M	100+	Free	0	Everyone	Business	February 1, 2018	0.0.9	4.1 and up
Talking Boyfriend	FAMILY	2.9	1073	2.8M	100,000+	Free	0	Everyone	Entertainment	August 28, 2016	1.1	2.3.3 and up
Faketalk - Chatbot	GAME	4.2	63056	8.1M	1,000,000+	Free	0	Teen	Word	July 3, 2018	1.9.7	2.3 and up
XXX DISTILLERY	BUSINESS	4.2	509	3.2M	100,000+	Free	0	Everyone	Business	August 2, 2017	1.1.0	4.0 and up
Cute Questions BF	LIFESTYLE	4.0	3	3.3M	1,000+	Free	0	Everyone	Lifestyle	June 2, 2018	3.0.0	4.4 and up
BG Score	SPORTS	2.6	64	1.6M	10,000+	Free	0	Everyone	Sports	July 26, 2017	2.1	4.0.3 and up
BG Advisor 	TOOLS	4.4	7	5.6M	1,000+	Free	0	Everyone	Tools	January 10, 2017	1.3	4.0.3 and up
BG Products	AUTO_AND_VEHICLES	4.8	4	4.5M	500+	Free	0	Everyone	Auto & Vehicles	November 28, 2017	1.3	5.0 and up
BG LINKED (BGLINKED)	SOCIAL	4.7	22	11M	1,000+	Free	0	Everyone	Social	January 19, 2018	v2.0.02_prod	4.1 and up
BG Monitor Diabetes	MEDICAL	4.4	643	2.8M	10,000+	Free	0	Everyone	Medical	April 23, 2017	8.0.1	4.4 and up
BG Monitor Diabetes Pro	MEDICAL	4.6	87	2.8M	500+	Paid	$5.99	Everyone	Medical	April 23, 2017	8.0.1	4.4 and up
HTC Sense Input-BG	TOOLS	2.7	198	2.8M	100,000+	Free	0	Everyone	Tools	April 22, 2014	9.7.753080	4.1 and up
Photo BG Changer	PHOTOGRAPHY	3.8	11	17M	1,000+	Free	0	Everyone	Photography	February 21, 2018	1.3	4.1 and up
BG TV App	FAMILY	1.7	6	2.9M	100+	Free	0	Everyone	Entertainment	December 21, 2017	1.0	4.1 and up
BG BRIDAL GALLERY	LIFESTYLE	4.6	17	19M	1,000+	Free	0	Everyone	Lifestyle	June 27, 2018	2.1.1	4.4 and up
HTC Sense Input - BG	TOOLS	3.3	218	4.1M	10,000+	Free	0	Everyone	Tools	November 9, 2015	1.0.606877	5.0 and up
BG Editor	PHOTOGRAPHY		0	8.4M	5+	Free	0	Everyone	Photography	July 23, 2018	1.2	4.1 and up
BG Sports News	NEWS_AND_MAGAZINES		41	5.0M	1,000+	Free	0	Everyone	News & Magazines	February 9, 2016	1.0.0	3.0 and up
Board Game Stats: Play tracking for tabletop games	LIFESTYLE	4.6	275	3.9M	5,000+	Paid	$2.99	Everyone	Lifestyle	July 17, 2018	2.8.3	4.1 and up
Bg TV Online	FAMILY	2.3	50	2.8M	10,000+	Free	0	Everyone	Entertainment	October 21, 2017	1.2	4.1 and up
PhotoLayers Superimpose,Eraser	PHOTOGRAPHY	4.5	81219	2.6M	10,000,000+	Free	0	Everyone	Photography	June 14, 2015	1.4.0	4.1 and up
Zdravei.BG	SOCIAL		6	6.1M	1,000+	Free	0	Mature 17+	Social	January 8, 2018	3.7.17	4.1 and up
BG+Phone Backup	PRODUCTIVITY	4.8	16	2.6M	1,000+	Free	0	Everyone	Productivity	February 17, 2017	1.0.3	2.3 and up
BGKontakti London BG Kontakti	SOCIAL		4	8.9M	500+	Free	0	Everyone	Social	March 23, 2017	1.2	3.0 and up
ReactNative BG Geolocation	TOOLS	5.0	5	9.1M	1,000+	Free	0	Everyone	Tools	May 25, 2018	2.12.0	4.1 and up
BG TV Stations	FAMILY		0	2.9M	100+	Free	0	Everyone	Entertainment	February 10, 2018	1.0	4.1 and up
BG video - floating video - background video	VIDEO_PLAYERS	4.1	64	2.0M	5,000+	Free	0	Everyone	Video Players & Editors	May 21, 2018	2.0	4.0 and up
BG TV Program	FAMILY		1	2.8M	100+	Free	0	Everyone	Entertainment	April 22, 2018	1.0	4.1 and up
BG Cable TV	FAMILY		5	2.8M	1,000+	Free	0	Everyone	Entertainment	February 25, 2018	1.0	4.1 and up
BG Middle East	AUTO_AND_VEHICLES		1	9.4M	10+	Free	0	Everyone	Auto & Vehicles	December 20, 2017	1.1	4.0 and up
Blender BG - Photo Blend With Background	PHOTOGRAPHY		0	7.8M	100+	Free	0	Everyone	Photography	September 20, 2017	1.0	4.2 and up
BG MUSIC PLAYER - MUSIC PLAYER	VIDEO_PLAYERS		0	8.6M	100+	Free	0	Everyone	Video Players & Editors	June 26, 2018	1.0	4.1 and up
Sommelier.BG	FOOD_AND_DRINK		0	Varies with device	10+	Free	0	Teen	Food & Drink	July 18, 2018	Varies with device	Varies with device
BG Future School	FAMILY	4.9	16	10M	100+	Free	0	Everyone	Education	July 22, 2017	1.0	4.0.3 and up
Cordova BG Geolocation	MAPS_AND_NAVIGATION	3.0	4	Varies with device	1,000+	Free	0	Everyone	Maps & Navigation	May 25, 2018	Varies with device	Varies with device
Simple Photo BG Changer	TOOLS		1	5.1M	10+	Free	0	Everyone	Tools	June 8, 2018	1.0	2.3 and up
BGKontakti Bayern BG Kontakti	SOCIAL		32	7.8M	1,000+	Free	0	Everyone	Social	May 25, 2016	1.6	3.0 and up
BGKontakti Vienna BG Kontakti	SOCIAL	4.8	111	5.9M	1,000+	Free	0	Everyone	Social	July 18, 2018	2.42	4.1 and up
CARS.bg	AUTO_AND_VEHICLES	4.5	276	1.7M	100,000+	Free	0	Everyone	Auto & Vehicles	July 5, 2017	1.1.3	4.4 and up
bgtime.tv	VIDEO_PLAYERS	3.4	694	Varies with device	50,000+	Free	0	Everyone	Video Players & Editors	July 27, 2018	Varies with device	Varies with device
BG Torneos	SPORTS		7	2.3M	100+	Free	0	Everyone	Sports	June 13, 2018	2.0.0	4.1 and up
YourTube Video Views BG	VIDEO_PLAYERS		8	2.5M	500+	Free	0	Everyone	Video Players & Editors	November 12, 2015	1.1.1	4.0 and up
BG Television	FAMILY		3	2.8M	500+	Free	0	Everyone	Entertainment	December 10, 2017	1.0	4.1 and up
C        BG	BOOKS_AND_REFERENCE		13	4.1M	1,000+	Free	0	Everyone	Books & Reference	January 21, 2017	250	4.0 and up
Auto Background Changer	PHOTOGRAPHY	4.0	35188	6.2M	1,000,000+	Free	0	Everyone	Photography	February 22, 2018	1.0.11	3.2 and up
Block Gun 3D: Call of Destiny	GAME	3.7	31883	20M	1,000,000+	Free	0	Teen	Action	March 23, 2017	1.4.3	2.3 and up
BG Remover & Eraser Pro	TOOLS	2.2	4	4.8M	500+	Free	0	Everyone	Tools	April 3, 2018	3.0	2.3 and up
BG Metro - Red voznje	TRAVEL_AND_LOCAL	4.8	89	Varies with device	1,000+	Free	0	Everyone	Travel & Local	February 21, 2017	Varies with device	Varies with device
BG Cricket	SPORTS		6	24M	500+	Free	0	Everyone	Sports	June 14, 2018	2.4.4	4.2 and up
BG Guide	TRAVEL_AND_LOCAL	5.0	3	2.4M	100+	Free	0	Everyone	Travel & Local	November 28, 2016	1.1	2.3.3 and up
Bg Radios - Bulgarian radio stations online	FAMILY		8	13M	1,000+	Free	0	Everyone	Entertainment	July 13, 2018	1.3.2	4.1 and up
Micro.bg Cloud POS System	BUSINESS		6	Varies with device	100+	Free	0	Everyone	Business	July 12, 2017	Varies with device	2.0 and up
BG-FLEET	TOOLS		0	1.8M	10+	Free	0	Everyone	Tools	July 30, 2018	1.0	4.0.3 and up
trip.bg	TRAVEL_AND_LOCAL	4.5	103	9.8M	1,000+	Free	0	Everyone	Travel & Local	July 30, 2018	8.2.0	4.0.3 and up
Dete.bg	NEWS_AND_MAGAZINES		0	29M	100+	Free	0	Everyone	News & Magazines	June 12, 2017	1.2	4.1 and up
BLOOD & GLORY: IMMORTALS	GAME	4.3	101762	11M	1,000,000+	Free	0	Teen	Action	June 11, 2015	2.0.0	3.0 and up
Change photo background	PHOTOGRAPHY	3.8	28660	6.4M	5,000,000+	Free	0	Everyone	Photography	March 21, 2018	1.0.12	4.0.3 and up
Es-Bg Offline Voice Translator	TRAVEL_AND_LOCAL		1	87M	10+	Paid	$1.49	Everyone	Travel & Local	March 19, 2017	2.55	3.0 and up
Baldur's Gate: Enhanced Edition	FAMILY	4.5	20101	7.8M	100,000+	Paid	$9.99	Teen	Role Playing	October 2, 2015	1.3	3.0 and up
Shadow Fight 2 Special Edition	GAME	4.5	10440	86M	50,000+	Paid	$4.99	Teen	Action	May 30, 2018	1.0.3	4.1 and up
ePazar.bg	SHOPPING		28	2.1M	1,000+	Free	0	Everyone	Shopping	January 7, 2017	3.0	3.0 and up
Revita.bg	HEALTH_AND_FITNESS	4.8	10	4.0M	10+	Free	0	Everyone	Health & Fitness	June 13, 2018	3.55	4.0 and up
Background Eraser	PHOTOGRAPHY	4.5	267378	1.9M	10,000,000+	Free	0	Everyone	Photography	July 11, 2015	1.4.6	4.0 and up
ePay.bg	FINANCE	4.4	2017	2.4M	100,000+	Free	0	Everyone	Finance	July 26, 2018	2.22	4.1 and up
Top Novini BG	NEWS_AND_MAGAZINES		2	2.9M	100+	Free	0	Everyone	News & Magazines	June 14, 2016	1.2	4.1 and up
Block Gun 3D: Ghost Ops	GAME	3.9	142693	21M	5,000,000+	Free	0	Teen	Action	June 7, 2018	1.4.0	2.3 and up
Music for Youtube - Tube Music BG, Red+	VIDEO_PLAYERS	4.3	47	8.7M	1,000+	Free	0	Teen	Video Players & Editors	September 23, 2017	1.10	4.2 and up
Bg+ Call Blocker	TOOLS	4.3	80	1.7M	10,000+	Free	0	Everyone	Tools	March 20, 2018	1.2	4.0 and up
BG Blurry HD Wallpapers	FAMILY		1	5.1M	10+	Free	0	Everyone	Entertainment	March 12, 2018	1.0.0.1	4.0 and up
Background Changer & Eraser	PHOTOGRAPHY	4.0	2076	11M	500,000+	Free	0	Teen	Photography	May 21, 2018	2.5	4.1 and up
Stolica.bg	NEWS_AND_MAGAZINES		1	1.3M	50+	Free	0	Everyone	News & Magazines	May 2, 2018	1.1	5.0 and up
Cut Out : Background Eraser and background changer	PHOTOGRAPHY	4.1	7118	9.2M	1,000,000+	Free	0	Everyone	Photography	June 29, 2018	1.6	4.0 and up
mySugr: the blood sugar tracker made just for you	MEDICAL	4.6	21187	35M	1,000,000+	Free	0	Everyone	Medical	July 23, 2018	3.52.0	5.0 and up
Photo Background Changer 2018 - Blur Background	LIFESTYLE	3.7	34079	9.2M	5,000,000+	Free	0	Everyone	Lifestyle	May 21, 2018	Arrow-202	4.1 and up
BGCN TV	VIDEO_PLAYERS	3.4	4334	4.9M	100,000+	Free	0	Everyone	Video Players & Editors	November 4, 2015	3.1.891	Varies with device
ScorePal	TOOLS	4.5	1439	15M	10,000+	Free	0	Everyone	Tools	July 9, 2018	2.10.7	4.3 and up
Backgammon NJ for Android	GAME	4.4	1644	15M	10,000+	Paid	$7.99	Everyone	Board	April 5, 2017	4.1	2.3.3 and up
BG Burger	FOOD_AND_DRINK		1	19M	10+	Free	0	Everyone	Food & Drink	March 29, 2017	1.0	4.1 and up
JOBS.bg	BUSINESS	4.4	1630	2.2M	100,000+	Free	0	Everyone	Business	August 22, 2017	3.1.0	4.4 and up
CSCS BG (           )	FAMILY	2.4	7	2.1M	100+	Paid	$3.99	Everyone	Education	March 23, 2017	1.0	4.0.3 and up
LEGO   Batman: Beyond Gotham	FAMILY	4.1	10758	8.0M	100,000+	Paid	$4.99	Everyone 10+	Adventure;Action & Adventure	December 15, 2015	Varies with device	4.0.3 and up
Backgrounds HD (Wallpapers)	PERSONALIZATION	4.6	2390099	Varies with device	100,000,000+	Free	0	Teen	Personalization	August 4, 2018	Varies with device	Varies with device
Blood Glucose Tracker	HEALTH_AND_FITNESS	4.6	9612	3.5M	100,000+	Free	0	Everyone	Health & Fitness	May 18, 2018	1.8.12	4.4 and up
Baldur's Gate II	FAMILY	4.3	5442	16M	50,000+	Paid	$9.99	Teen	Role Playing	June 28, 2018	2.5.16.6	3.0 and up
Rento - Dice Board Game Online	GAME	4.3	205830	63M	10,000,000+	Free	0	Everyone	Board	June 20, 2018	4.4.9	4.1 and up
Learn Bulgarian Free	FAMILY	4.7	3049	Varies with device	50,000+	Free	0	Everyone	Education	May 4, 2018	Varies with device	Varies with device
N+ News Bulgaria	NEWS_AND_MAGAZINES		2	10M	50+	Free	0	Everyone	News & Magazines	August 2, 2017	1.0	4.0 and up
Remix Second Hand	SHOPPING	4.2	867	7.5M	100,000+	Free	0	Everyone	Shopping	August 2, 2018	1.5.8	4.4 and up
Ultimate Background Eraser	PHOTOGRAPHY	4.3	14453	21M	1,000,000+	Free	0	Everyone	Photography	March 13, 2018	1.9	4.1 and up
OnTrack Diabetes	MEDICAL	4.3	6079	1.8M	500,000+	Free	0	Everyone	Medical	January 17, 2018	3.2.7	2.1 and up
Blur Image Background	PHOTOGRAPHY	3.9	129268	11M	10,000,000+	Free	0	Everyone	Photography	July 30, 2018	1.32	4.1 and up
ALL-IN-ONE PACKAGE TRACKING	PRODUCTIVITY	4.7	167406	18M	1,000,000+	Free	0	Everyone	Productivity	July 23, 2018	3.1.1281	4.0.3 and up
Survival Run with Bear Grylls	GAME	4.2	128579	Varies with device	5,000,000+	Free	0	Everyone	Action	May 6, 2018	Varies with device	Varies with device
VIP Backgammon Free : Play Backgammon Online	GAME	4.1	389	Varies with device	10,000+	Free	0	Teen	Board	July 3, 2018	1.16.32	Varies with device
Grabo.bg	SHOPPING	4.6	8175	3.2M	100,000+	Free	0	Everyone	Shopping	April 5, 2018	3.2.3	4.0.3 and up
BusyBox Pro	TOOLS	4.7	8114	Varies with device	100,000+	Paid	$2.49	Everyone	Tools	June 9, 2018	Varies with device	Varies with device
GEM 	TOOLS	4.3	6	33M	500+	Free	0	Everyone	Tools	July 23, 2018	1.93	5.0 and up
Diabetes Connect	MEDICAL	4.5	4027	8.4M	100,000+	Free	0	Everyone	Medical	October 10, 2017	2.4.1	4.0 and up
B&H Photo Video Pro Audio	SHOPPING	4.6	17180	31M	1,000,000+	Free	0	Everyone	Shopping	August 3, 2018	5.3.1	4.4 and up
BH by Kinomap	HEALTH_AND_FITNESS	2.9	141	22M	10,000+	Free	0	Everyone	Health & Fitness	July 30, 2018	3.2.9	4.1 and up
BH Cosmetics	BEAUTY	4.0	2	3.6M	1,000+	Free	0	Everyone	Beauty	May 29, 2018	1.0	4.0 and up
BH Bikes Premium	SPORTS	3.0	26	15M	1,000+	Free	0	Everyone	Sports	May 9, 2017	2.1.1	5.0 and up
B&H Kids AR	BOOKS_AND_REFERENCE	3.9	286	18M	10,000+	Free	0	Everyone	Books & Reference	September 29, 2017	3.2.5	4.0 and up
BH Bikes GPS Locator	SPORTS		0	10M	10+	Free	0	Everyone	Sports	July 19, 2018	1.0	5.0 and up
BH Patrole	AUTO_AND_VEHICLES	4.8	27	2.5M	500+	Free	0	Everyone	Auto & Vehicles	February 15, 2018	2.0	4.4 and up
CINEMA.BH	FAMILY	3.9	11	16M	1,000+	Free	0	Everyone	Entertainment	January 30, 2018	1.2.2	4.2 and up
DSLR Photography Training apps	PHOTOGRAPHY	4.0	675	15M	100,000+	Free	0	Everyone	Photography	July 29, 2017	2.1	2.3 and up
Radio Belo Horizonte	FAMILY		0	4.3M	10+	Free	0	Mature 17+	Entertainment	August 3, 2018	2	4.0 and up
BH Online	FINANCE		0	4.6M	10+	Free	0	Everyone	Finance	July 4, 2018	2.2.6	5.0 and up
Belo Horizonte Map offline	TRAVEL_AND_LOCAL		11	18M	1,000+	Free	0	Everyone	Travel & Local	July 12, 2018	1.73	4.3 and up
Bh Public School	FAMILY	5.0	2	8.7M	10+	Free	0	Everyone	Education	March 21, 2018	1.2	4.0.3 and up
BH Mission Playbook	TRAVEL_AND_LOCAL		0	22M	100+	Free	0	Everyone	Travel & Local	April 2, 2018	1.5.4	4.4 and up
BH INVEST	FINANCE		7	1.1M	500+	Free	0	Everyone	Finance	February 5, 2016	1.3	3.2 and up
Comunidad BH	FAMILY		23	4.8M	1,000+	Free	0	Everyone	Entertainment	November 9, 2016	1.3.9	2.3 and up
VIVA BH	TOOLS	4.0	2055	2.6M	100,000+	Free	0	Everyone	Tools	April 9, 2018	2.44	4.0 and up
Disc pulos em BH	SOCIAL		24	5.2M	100+	Free	0	Everyone	Social	February 24, 2018	1.1.4	4.1 and up
Barbers.BH	LIFESTYLE	5.0	2	6.0M	10+	Free	0	Everyone	Lifestyle	May 24, 2018	2.1	4.0.3 and up
BH - Fitness & Nutrition	HEALTH_AND_FITNESS		0	43M	1+	Free	0	Everyone	Health & Fitness	July 4, 2018	4.3.6	4.1 and up
Lexus Tech BH Service Pro	LIFESTYLE		0	904k	10+	Free	0	Teen	Lifestyle	July 26, 2016	5.0	3.0 and up
Photo Editor - BPhoto	PHOTOGRAPHY	4.5	42	20M	1,000+	Free	0	Everyone	Photography	September 17, 2016	1.2	4.2 and up
BH Challenge - Museum of the Jewish People	FAMILY	4.8	12	28M	1,000+	Free	0	Everyone	Education	March 26, 2018	1.3.6	4.2 and up
B'H BURGER HEIM	LIFESTYLE		0	20M	10+	Free	0	Everyone	Lifestyle	May 26, 2016	1.0	4.0 and up
B y H Ni os ES	BOOKS_AND_REFERENCE	4.6	53	16M	5,000+	Free	0	Everyone	Books & Reference	September 22, 2015	1.0.2	2.3 and up
ZUL - Rotativo Digital BH	AUTO_AND_VEHICLES	4.2	29	Varies with device	10,000+	Free	0	Everyone	Auto & Vehicles	August 1, 2018	1.6.5	4.1 and up
Coomotaxi BH	BUSINESS		94	8.7M	5,000+	Free	0	Everyone	Business	May 24, 2018	3.44.1	4.0.3 and up
BH Mail	COMMUNICATION	3.4	7	6.0M	1,000+	Free	0	Everyone	Communication	April 3, 2018	5.403	4.0.3 and up
FitConsole	HEALTH_AND_FITNESS	2.6	219	1.8M	50,000+	Free	0	Everyone	Health & Fitness	October 30, 2015	v1.1-20151030	4.0 and up
Run on Earth	HEALTH_AND_FITNESS	2.4	577	3.7M	50,000+	Free	0	Everyone	Health & Fitness	April 25, 2018	1.7.5	4.0 and up
BH Rocking	TRAVEL_AND_LOCAL		13	3.2M	100+	Free	0	Everyone	Travel & Local	January 17, 2018	1.0.7	4.1 and up
Newegg Mobile	SHOPPING	4.5	35479	16M	1,000,000+	Free	0	Everyone	Shopping	July 11, 2018	4.16.0	4.4 and up
Battleheart Legacy	FAMILY	4.6	7420	7.4M	50,000+	Paid	$4.99	Teen	Role Playing	November 10, 2014	1.2.5	4.1 and up
Treadmill Workouts Free (P)	HEALTH_AND_FITNESS	3.3	10	3.3M	1,000+	Free	0	Everyone	Health & Fitness	April 5, 2018	1.8 P	4.4 and up
ZiraatBank BH	FINANCE	4.1	58	3.5M	10,000+	Free	0	Everyone	Finance	July 4, 2017	2.3.2	4.0 and up
Digital Tourist BH Itinerary	TRAVEL_AND_LOCAL	4.6	19	14M	500+	Free	0	Everyone	Travel & Local	October 13, 2015	0.9.2	2.2 and up
BH T xi	BUSINESS	3.9	91	8.9M	5,000+	Free	0	Everyone	Business	June 7, 2018	3.44.2	4.0.3 and up
BH Connect	SOCIAL		0	32M	1+	Free	0	Teen	Social	March 22, 2018	1.4.4	4.0.3 and up
Out of Bounds BH Demo	GAME		3	14M	10+	Free	0	Everyone	Action	November 19, 2015	1.0	2.3.3 and up
EduNAV.BH	FAMILY		3	3.8M	50+	Free	0	Everyone	Education	February 12, 2018	1.2.0	4.3 and up
BH A a 	FOOD_AND_DRINK		3	4.7M	100+	Free	0	Everyone	Food & Drink	May 29, 2018	7.0 RELEASE	4.0.3 and up
BH Recepti	FOOD_AND_DRINK		3	9.9M	500+	Free	0	Everyone	Food & Drink	August 16, 2016	1.2	4.0 and up
Bi en L nea	FINANCE	4.0	5055	17M	100,000+	Free	0	Everyone	Finance	March 5, 2018	4.4.1	4.4 and up
Gayvox - Gay Lesbian Bi Dating	SOCIAL	3.4	3640	9.1M	500,000+	Free	0	Mature 17+	Social	June 13, 2016	3.1.9	2.3 and up
Microsoft Power BI Business data analytics	BUSINESS	4.5	1819	10M	100,000+	Free	0	Everyone	Business	July 16, 2018	2.2.180712.112152	5.0 and up
BI Mobile Banking	FINANCE	4.0	180	27M	10,000+	Free	0	Everyone	Finance	June 27, 2018	4.17.38	4.4 and up
BI News	NEWS_AND_MAGAZINES	5.0	22	25M	1,000+	Free	0	Everyone	News & Magazines	June 10, 2018	1.5.0	4.1 and up
BI SmartLINK	BUSINESS	3.6	16	33M	5,000+	Free	0	Everyone	Business	July 25, 2018	2.7.0	5.1 and up
BI-LO	LIFESTYLE	3.5	43	30M	10,000+	Free	0	Everyone	Lifestyle	July 11, 2018	2.0.0	4.1 and up
Bitmoji   Your Personal Emoji	FAMILY	4.6	2312084	Varies with device	100,000,000+	Free	0	Teen	Entertainment	July 25, 2018	Varies with device	4.3 and up
Sisense Mobile BI	BUSINESS	4.9	23	28M	1,000+	Free	0	Everyone	Business	April 30, 2018	2.4.1	4.1 and up
Starg - Gay, Same Sex, Bi	DATING	3.7	66	7.3M	10,000+	Free	0	Mature 17+	Dating	November 29, 2016	1.0.6	4.1 and up
Propel BI APP	BUSINESS	5.0	3	23M	100+	Free	0	Everyone	Business	July 24, 2018	1.39	4.4 and up
BI Office	BUSINESS	4.0	76	201k	10,000+	Free	0	Everyone	Business	June 7, 2017	2.7.1	3.0 and up
BI-LO Rx	LIFESTYLE	3.9	77	Varies with device	10,000+	Free	0	Everyone	Lifestyle	March 26, 2018	Varies with device	Varies with device
BI APP	FINANCE	5.0	2	2.7M	100+	Free	0	Everyone	Finance	February 19, 2016	1.8	4.0 and up
Oracle BI Mobile	BUSINESS	4.0	282	7.7M	10,000+	Free	0	Everyone	Business	August 1, 2018	20.0.0.0	6.0 and up
Bi-Tank Ads Free	GAME		0	Varies with device	1+	Paid	$0.99	Everyone	Arcade	July 31, 2017	1.1	4.1 and up
bi-Cube Mobile Token	TOOLS		5	21M	1,000+	Free	0	Everyone	Tools	April 26, 2018	8.9.2.0.0	4.0.3 and up
Business Intelligence & Data	FAMILY	4.9	7	3.5M	1,000+	Free	0	Everyone	Education	July 26, 2016	1.0	2.0 and up
BI Mobile	FINANCE	4.4	337	3.3M	10,000+	Free	0	Everyone	Finance	March 15, 2018	1.0	4.0.3 and up
Grindr - Gay chat	SOCIAL	3.6	284795	31M	10,000,000+	Free	0	Mature 17+	Social	August 3, 2018	4.1.2	4.3 and up
Zoho Reports - Mobile BI	BUSINESS	4.7	45	12M	5,000+	Free	0	Everyone	Business	May 23, 2018	2.0.5	4.1 and up
Power BI Ultimate Orientation	FAMILY	4.3	12	8.1M	5,000+	Free	0	Everyone	Education	February 6, 2017	1.0.1	4.0 and up
Pool Billiards Classic - bi a	SPORTS	3.9	5644	14M	1,000,000+	Free	0	Everyone	Sports	November 1, 2017	1.7	4.0.3 and up
Lesbian Chat & Dating - SPICY	SOCIAL	4.5	63765	11M	1,000,000+	Free	0	Mature 17+	Social	July 31, 2018	4.17.2	4.1 and up
Moco - Chat, Meet People	DATING	4.2	313769	Varies with device	10,000,000+	Free	0	Mature 17+	Dating	August 4, 2018	2.6.142	4.1 and up
Bi-Tank	GAME	4.6	12	18M	50+	Free	0	Everyone	Arcade	July 31, 2017	Varies with device	4.1 and up
Hot or Not - Find someone right now	DATING	4.1	305737	Varies with device	10,000,000+	Free	0	Mature 17+	Dating	August 2, 2018	Varies with device	Varies with device
happn   Local dating app	LIFESTYLE	4.3	1118201	Varies with device	10,000,000+	Free	0	Mature 17+	Lifestyle	July 24, 2018	Varies with device	Varies with device
Dictionary.com: Find Definitions for English Words	BOOKS_AND_REFERENCE	4.6	899010	Varies with device	10,000,000+	Free	0	Everyone	Books & Reference	July 30, 2018	Varies with device	Varies with device
MinT BI	PRODUCTIVITY		0	2.9M	10+	Free	0	Everyone	Productivity	January 13, 2018	3.1	4.2 and up
